Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		2.6270		3.0844		0.0000		0.0113		0.00050000
2		2.1924		3.1628		0.0000		0.0078		0.00049700
3		1.9859		3.1511		0.0000		0.0051		0.00049400
4		1.8152		3.1475		0.0000		0.0053		0.00049099
5		1.6928		3.0637		0.0000		0.0022		0.00048798
6		1.5958		3.0674		0.0000		0.0035		0.00048497
7		1.5280		3.1277		0.0000		0.0018		0.00048196
8		1.4601		3.0171		0.0000		0.0031		0.00047895
9		1.3952		3.0951		0.0000		0.0030		0.00047593
10		1.3583		3.0651		0.0000		0.0034		0.00047292
11		1.3156		3.0613		0.0000		0.0030		0.00046990
12		1.2870		2.9945		0.0000		0.0052		0.00046688
13		1.2339		2.9982		0.0000		0.0048		0.00046385
14		1.2319		3.0088		0.0000		0.0054		0.00046083
